Date,parks,grocery_and_pharmacy,retail_and_recreation,transit_stations,workplaces,residential,new_cases,Borough,crime
Aug,81.3125,-20.61290323,-22.87096774,-46.19354839,-47.83870968,11.38709677,125,Haringey,2503
Sep,54.8,-15.66666667,-21.16666667,-40.76666667,-44.96666667,10.66666667,418,Haringey,2718
Oct,9.129032258,-16.77419355,-25.61290323,-42.51612903,-41.25806452,12.5483871,1489,Haringey,2444
Nov,21.06666667,-14.36666667,-45.56666667,-50.16666667,-48.96666667,17.1,1630,Haringey,2411
Dec,11.4516129,-14.70967742,-38.51612903,-53.35483871,-51.87096774,18.09677419,7650,Haringey,2434
Mar,9.903225806,-0.419354839,-31.51612903,-30.22580645,-26.77419355,11.64516129,391,Harrow,1365
Apr,26.43333333,-34.1,-78.06666667,-70.7,-70.4,28.7,659,Harrow,1037
May,109.1,-22.09677419,-66.41935484,-59.93548387,-58.4516129,23.32258065,169,Harrow,1190
Jun,118.1333333,-15.16666667,-53.16666667,-52.53333333,-46.43333333,19.26666667,45,Harrow,1071
Jul,139.7741935,-13.93548387,-35.29032258,-45.90322581,-42,15.25806452,55,Harrow,1375
Aug,134.6875,-16.12903226,-22.9,-44.41935484,-40.48387097,11.61290323,139,Harrow,1335
Sep,111.85,-7.766666667,-18.06666667,-34.56666667,-34.03333333,10.66666667,379,Harrow,1401
Oct,44.61290323,-7.903225806,-23.93548387,-37.32258065,-30.74193548,12.32258065,1354,Harrow,1448
Nov,52.73333333,-7.5,-44.8,-43.23333333,-35.6,15.53333333,1818,Harrow,1369
Dec,28.25806452,-5.225806452,-38.16129032,-50.64516129,-42.90322581,17.5483871,6634,Harrow,1273
Mar,-1.032258065,0.838709677,-30.74193548,-30.38709677,-24.5483871,10.38709677,177,Havering,1439
Apr,-4.8,-32.53333333,-75.96666667,-68.73333333,-67.13333333,26.9,568,Havering,942
May,50.03225806,-22.90322581,-65.74193548,-58.61290323,-55.58064516,22.09677419,142,Havering,1154
Jun,52.73333333,-14.23333333,-51.36666667,-49.43333333,-44.36666667,17.76666667,44,Havering,1255
Jul,63.09677419,-10.29032258,-33.96774194,-41.77419355,-40.83870968,13.41935484,71,Havering,1500
